suburb,Median Price,Traffic,Public Transport,Affordability (Rental),Affordability (Buying),Nature,Noise,Things to Do,Family-Friendliness,Pet Friendliness,Safety,Liveability
Edgecliff,2400000,4,9,5,2,7,4,5,6,8,8,5.8
Crows Nest,2400000,4,5,4,3,5,4,8,6,7,8,5.4
Breakfast Point,2400000,6,7,5,7,7,8,7,3,8,4,6.2
Middle Cove,2400000,2,2,9,3,5,9,2,2,4,2,4
Mona Vale,2400000,6,4,9,8,3,9,6,7,5,3,6
Oakville,2400000,3,2,8,3,5,6,8,8,8,7,5.8
Rodd Point,2400000,7,7,7,4,6,4,7,6,4,8,6
Russell Lea,2400000,6,9,7,3,6,5,6,7,8,8,6.5
Haberfield,2350000,3,7,3,3,8,5,8,8,9,9,6.3
Drummoyne,2350000,2,6,4,3,9,4,8,9,9,9,6.3
Malabar,2350000,8,9,9,7,7,8,3,2,2,7,6.2
Wahroonga,2300000,5,6,4,2,9,8,4,9,9,9,6.5
Gladesville,2300000,4,5,6,3,9,6,7,8,7,8,6.3
Cronulla,2300000,3,6,5,3,10,6,9,8,9,6,6.5
Kyle Bay,2300000,3,7,9,3,6,4,5,7,9,3,5.6
Maroubra,2300000,5,6,9,2,9,5,7,6,5,6,6
Port Hacking,2300000,9,2,9,4,7,9,8,4,4,8,6.4
Sandringham,2300000,8,7,7,4,5,6,8,9,5,10,6.9
St Ives,2300000,5,5,4,4,6,5,5,6,5,5,5
Woolloomooloo,2300000,5,9,4,3,6,7,8,3,5,6,5.6
Avalon Beach,2250000,8,4,3,4,5,3,6,4,3,2,4.2
Concord,2200000,6,5,5,3,8,7,6,9,9,9,6.7
Balmain,2200000,4,4,3,2,7,8,8,8,8,8,6
Darlinghurst,2200000,3,7,4,3,5,4,7,5,7,4,4.9
Killarney Heights,2200000,3,6,8,7,9,7,2,8,6,8,6.4
Little Bay,2200000,9,9,9,6,3,9,5,6,9,2,6.7
Maraylya,2200000,9,3,9,2,7,3,5,2,6,9,5.5
Mount Vernon,2200000,2,4,4,9,7,7,2,6,7,8,5.6
Terrey Hills,2200000,6,3,5,4,9,8,4,7,8,8,6.2
Burwood,2150000,3,7,4,3,4,4,9,7,4,6,5.1
Summer Hill,2100000,6,7,6,3,6,8,5,9,8,9,6.7
Beecroft,2100000,4,6,4,3,9,10,2,9,8,9,6.4
Newport,2100000,3,6,9,5,3,7,7,9,7,9,6.5
Wareemba,2100000,6,7,8,7,8,6,7,9,8,8,7.4
Wheeler Heights,2100000,8,6,3,9,9,6,2,8,9,8,6.8
Yowie Bay,2100000,6,5,8,7,9,7,6,9,8,9,7.4
Denistone,2000000,6,6,3,3,8,9,3,7,8,9,6.2
Woolooware,2000000,4,6,5,4,7,8,4,8,8,8,6.2
Five Dock,2000000,4,4,4,3,8,6,6,8,8,7,5.8
Surry Hills,2000000,4,7,3,2,6,6,7,7,8,6,5.6
Lilyfield,2000000,3,5,6,3,8,4,7,8,9,8,6.1
Rozelle,2000000,3,5,4,3,8,5,9,9,9,6,6.1
Pyrmont,2000000,3,6,4,3,7,4,9,7,6,6,5.5
Homebush,2000000,2,6,6,3,7,4,8,7,7,7,5.7
Bella Vista,2000000,2,7,2,3,8,6,7,7,5,8,5.5
Cheltenham,2000000,5,3,4,3,4,4,3,9,8,8,5.1
Chifley,2000000,5,7,5,3,3,3,2,5,5,8,4.6
Cromer,2000000,6,5,7,5,9,6,2,7,4,5,5.6
Davidson,2000000,9,4,3,3,7,3,5,9,6,5,5.4
Dural,2000000,9,2,8,9,4,7,5,7,7,3,6.1
Forestville,2000000,7,5,7,8,6,4,4,8,3,6,5.8
Pagewood,2000000,9,8,6,3,6,3,7,5,3,2,5.2
Eastwood,1950000,2,6,6,3,8,6,7,9,8,7,6.2
Forest Lodge,1950000,6,2,5,6,4,3,4,5,7,6,4.8
Marsfield,1950000,8,4,7,9,7,9,8,6,7,6,7.1
Orchard Hills,1950000,5,7,7,9,5,5,7,9,6,9,6.9
Dulwich Hill,1900000,5,8,6,4,8,7,6,8,9,8,6.9
Annandale,1900000,5,3,5,3,8,5,5,9,9,9,6.1
Stanmore,1900000,5,7,4,3,5,3,3,8,6,8,5.2
Epping,1900000,3,8,4,4,7,6,6,8,9,8,6.3
Daceyville,1900000,7,5,2,3,5,2,7,9,5,7,5.2
Glenhaven,1900000,2,9,5,9,3,7,6,9,5,7,6.2
Luddenham,1900000,4,4,3,6,8,9,5,7,3,8,5.7
Rosebery,1850000,3,5,4,3,6,5,8,8,8,7,5.7
Glebe,1850000,3,6,4,2,6,5,6,5,7,6,5
Alexandria,1850000,1,6,4,3,6,5,5,5,6,5,4.6
Frenchs Forest,1850000,3,2,3,9,4,9,9,8,7,7,6.1
Matraville,1850000,3,9,6,9,7,3,2,4,3,5,5.1
Monterey,1850000,4,7,2,8,4,9,4,7,2,7,5.4
Warriewood,1850000,5,4,6,5,7,6,6,7,7,8,6.1
Oatley,1800000,6,6,6,4,8,9,5,9,8,9,7
Croydon,1800000,4,6,6,4,6,6,6,10,9,9,6.6
Waitara,1800000,4,6,6,3,6,6,6,8,7,9,6.1
Blakehurst,1800000,4,4,5,3,8,7,4,7,8,10,6
Leichhardt,1800000,3,6,5,5,6,3,9,7,7,7,5.8
Petersham,1800000,3,7,5,3,5,3,8,6,8,6,5.4
Camperdown,1800000,3,5,4,3,7,4,8,6,7,5,5.2
Redfern,1800000,3,9,3,3,6,4,9,5,5,3,5
Allambie Heights,1800000,7,7,7,8,7,3,5,7,4,3,5.8
Belrose,1800000,8,9,6,6,9,9,6,2,2,4,6.1
Cherrybrook,1800000,8,5,6,8,4,2,4,5,5,5,5.2
Hurlstone Park,1800000,4,9,4,9,7,3,6,9,5,5,6.1
Narraweena,1800000,8,8,7,4,6,9,2,9,3,4,6
Oatlands,1800000,8,9,4,2,7,9,3,5,4,4,5.5
Pennant Hills,1800000,2,3,3,2,3,6,8,6,2,8,4.3
Taren Point,1800000,5,6,6,5,7,6,7,8,7,8,6.5
Ryde,1750000,3,6,5,4,6,7,8,7,6,8,6
Ashfield,1750000,3,7,4,4,5,5,5,7,6,7,5.3
Newtown,1750000,3,7,5,3,5,4,9,5,8,4,5.3
Castle Hill,1750000,2,6,5,3,7,6,6,9,8,8,6
Zetland,1750000,2,7,5,5,6,3,4,5,6,7,5
Ashbury,1750000,7,5,8,6,2,3,2,6,9,7,5.5
Enmore,1750000,3,4,8,2,4,6,7,3,2,7,4.6
Melrose Park,1750000,9,7,3,5,8,2,8,5,2,6,5.5
West Ryde,1750000,6,8,7,6,5,7,6,8,6,7,6.6
Earlwood,1700000,5,3,6,4,7,6,4,8,8,5,5.6
Sans Souci,1700000,4,2,6,4,9,7,7,7,8,8,6.2
Lewisham,1700000,4,8,5,4,6,7,2,8,6,8,5.8
Marrickville,1700000,4,7,5,4,6,3,9,7,6,6,5.7
Botany,1700000,3,4,4,4,9,7,6,8,9,8,6.2
Ultimo,1700000,3,6,4,2,5,5,6,5,5,7,4.8
Darlington,1700000,5,3,4,2,8,7,7,9,2,9,5.6
Normanhurst,1700000,4,5,6,6,2,2,8,6,9,6,5.4
Meadowbank,1650000,5,8,5,5,7,6,4,5,5,8,5.8
Erskineville,1650000,3,7,4,3,6,6,6,7,8,7,5.7
Beaconsfield,1650000,3,2,4,8,4,8,2,7,6,5,4.9
Enfield,1650000,8,5,4,7,8,9,9,6,6,2,6.4
Galston,1650000,9,2,8,7,8,8,8,3,4,4,6.1
Kyeemagh,1650000,5,8,9,5,5,5,2,3,9,2,5.3
Eastlakes,1650000,5,2,5,6,7,8,8,6,7,9,6.3
Carlingford,1600000,4,3,6,4,8,6,8,8,7,7,6.1
Chippendale,1600000,4,5,5,3,5,4,8,6,5,7,5.2
Hurstville,1600000,3,7,5,4,6,5,8,8,6,7,5.9
Mascot,1600000,2,7,5,6,5,2,6,5,5,6,4.9
Brighton-le-Sands,1600000,4,5,5,7,8,8,7,8,6,4,6.2
Hillsdale,1600000,5,2,4,2,9,6,5,9,4,5,5.1
Mortlake,1600000,7,9,5,5,7,5,7,3,9,9,6.6
Sydenham,1600000,7,8,7,6,6,5,6,7,6,8,6.6
Sylvania,1600000,7,5,8,7,9,8,6,8,8,9,7.5
Westleigh,1600000,6,8,7,6,5,7,6,8,6,7,6.6
St Peters,1550000,4,7,5,4,6,3,4,6,6,7,5.2
Oyster Bay,1550000,3,4,6,9,4,6,8,9,6,6,6.1
Como,1500000,7,6,5,4,9,8,2,8,7,9,6.5
Caringbah,1500000,6,6,6,4,6,8,2,8,8,8,6.2
Lugarno,1500000,5,3,6,5,9,8,3,8,8,10,6.5
Canterbury,1500000,4,6,6,5,7,6,5,8,8,5,6
Kingsgrove,1500000,3,7,6,5,7,6,6,7,8,6,6.1
Bardwell Park,1500000,5,4,7,5,4,6,7,5,8,6,5.7
Bonnet Bay,1500000,2,7,6,5,7,4,4,5,3,2,4.5
Illawong,1500000,4,2,8,8,6,5,5,5,3,8,5.4
Kurnell,1500000,8,5,9,2,5,3,7,8,8,4,5.9
North Rocks,1500000,2,8,5,9,6,7,4,4,2,9,5.6
Thornleigh,1500000,6,8,7,6,7,7,6,8,8,9,7.2
Westmead,1500000,3,9,7,7,6,3,8,3,9,5,6
Waterloo,1450000,2,5,5,5,5,4,6,5,5,6,4.8
Kellyville,1450000,6,3,8,4,7,2,4,7,6,3,5
Londonderry,1450000,8,7,7,6,4,9,4,9,6,2,6.2
Ramsgate,1450000,5,8,5,4,9,9,8,9,6,7,7
Turrella,1450000,6,7,6,5,7,6,5,7,6,7,6.2
Telopea,1420000,6,8,7,6,7,8,7,8,7,8,7.2
Carlton,1400000,5,6,6,5,6,8,4,8,8,8,6.4
Hornsby,1400000,4,6,7,6,8,7,7,9,8,9,7.1
Kogarah,1400000,4,7,7,6,6,5,6,8,6,7,6.2
Bexley,1400000,4,5,6,6,6,6,5,8,8,6,6
Miranda,1400000,3,7,6,6,7,7,8,7,6,5,6.2
Campsie,1400000,2,7,6,6,3,5,6,6,6,5,5.2
Asquith,1400000,9,8,7,7,4,2,5,4,7,3,5.6
Bardwell Valley,1400000,9,6,3,9,8,5,4,6,8,5,6.3
Baulkham Hills,1400000,5,3,3,3,7,7,5,7,7,7,5.4
Clemton Park,1400000,7,8,5,5,8,2,5,9,8,6,6.3
Ermington,1400000,4,4,8,2,4,4,7,4,9,4,5
Kareela,1400000,3,3,8,7,3,5,8,4,5,4,5
Newington,1400000,8,4,6,2,4,7,3,5,5,9,5.3
Tempe,1400000,5,9,6,5,6,7,8,7,8,7,6.8
Bexley North,1400000,7,9,8,7,8,8,7,9,8,9,8
Penshurst,1350000,6,7,6,6,7,5,4,8,8,8,6.5
Gymea,1350000,5,6,6,5,6,7,7,8,7,8,6.5
Allawah,1350000,5,5,7,5,5,8,3,6,6,8,5.8
Kirrawee,1350000,4,6,5,5,7,6,7,8,9,8,6.5
Arncliffe,1350000,4,6,6,5,4,3,3,5,5,4,4.5
Rockdale,1350000,2,7,6,6,4,4,7,7,7,5,5.5
Barden Ridge,1350000,6,5,2,2,3,8,6,6,5,6,4.9
Beverly Hills,1350000,7,2,8,7,2,6,8,9,7,3,5.9
Rydalmere,1350000,8,9,7,4,6,3,8,7,5,8,6.5
Woronora,1350000,7,3,6,5,8,7,5,8,7,8,6.4
Dundas,1330000,2,9,8,4,9,7,9,4,7,7,6.6
Jannali,1300000,6,6,7,7,7,8,2,8,8,9,6.8
Mortdale,1300000,4,7,7,7,5,6,3,8,6,7,6
Belmore,1300000,7,4,9,6,4,6,3,5,4,8,5.6
Loftus,1300000,3,2,9,5,6,6,9,6,5,3,5.4
Parramatta,1300000,5,8,2,6,8,8,6,6,3,9,6.1
Pitt Town,1300000,8,3,6,7,9,3,6,2,8,9,6.1
Yarrawarrah,1300000,7,4,6,7,8,7,5,8,7,8,6.7
Bangor,1250000,6,2,6,6,7,8,2,8,8,7,6
Peakhurst,1250000,4,3,6,6,7,7,2,7,8,6,5.6
Lidcombe,1250000,2,8,7,7,5,4,10,6,6,6,6.1
Banksia,1250000,9,2,9,3,7,2,4,8,8,6,5.8
Mount Colah,1250000,4,8,5,3,7,6,8,6,6,2,5.5
Silverwater,1250000,8,7,9,7,6,4,6,7,4,7,6.5
Winston Hills,1250000,7,6,7,8,8,7,6,8,8,8,7.3
Menai,1200000,5,3,5,7,6,8,5,8,7,9,6.3
Sutherland,1200000,4,7,6,6,6,5,5,8,8,5,6
Berowra,1200000,6,9,5,2,5,8,2,7,7,7,5.8
Glenwood,1200000,8,6,4,4,2,3,5,2,6,5,4.5
Harris Park,1200000,5,4,8,7,3,4,6,7,5,2,5.1
Kurrajong,1200000,3,2,7,8,2,9,3,6,6,7,5.3
Mulgoa,1200000,8,3,6,8,9,6,5,4,4,6,5.9
Narwee,1200000,7,5,6,8,4,4,2,6,4,3,4.9
Northmead,1200000,5,4,5,4,2,3,2,3,5,4,3.7
Picnic Point,1200000,8,8,7,3,3,6,3,9,7,4,5.8
"Ponds, The",1200000,8,6,5,2,6,6,7,3,6,5,5.4
Padstow,1150000,5,7,6,7,7,7,5,7,8,7,6.6
Wentworthville,1150000,4,6,7,6,4,5,6,7,6,6,5.7
Rouse Hill,1150000,3,4,6,6,8,7,7,9,8,7,6.5
Roselands,1150000,3,4,7,6,4,5,6,5,5,6,5.1
Heathcote,1150000,7,9,6,9,3,6,9,4,8,6,6.7
Kings Langley,1150000,4,8,8,5,6,3,9,8,8,6,6.5
Panania,1100000,6,7,7,7,7,7,3,8,8,6,6.6
Engadine,1100000,4,6,6,7,8,7,3,9,8,8,6.6
Revesby,1100000,3,8,6,6,6,6,6,7,7,5,6
Riverwood,1100000,3,6,7,7,6,5,6,7,8,4,5.9
Abbotsbury,1100000,9,7,4,7,6,2,3,6,2,6,5.2
Greenacre,1100000,8,4,3,4,9,7,9,3,7,7,6.1
Harrington Park,1100000,9,5,3,6,7,7,2,6,6,4,5.5
Holroyd,1100000,5,7,2,4,4,7,2,7,8,2,4.8
Mount Lewis,1100000,5,2,7,8,3,2,5,4,6,3,4.5
Stanhope Gardens,1100000,8,8,7,7,6,4,8,8,7,8,7.1
Bankstown,1050000,3,7,6,5,4,4,6,5,5,3,4.8
Berala,1050000,6,2,8,5,4,7,3,3,4,4,4.6
Colebee,1050000,2,7,7,9,6,5,5,4,6,9,6
Condell Park,1050000,4,8,4,5,2,8,9,9,3,4,5.6
East Hills,1050000,9,2,6,2,8,9,5,4,3,4,5.2
Moorebank,1050000,9,5,9,8,8,6,2,2,9,8,6.6
Pemulwuy,1050000,5,6,7,3,6,2,6,6,6,4,5.1
Parklea,1030000,2,8,3,9,3,4,7,2,3,6,4.7
Birrong,1000000,2,4,5,2,2,9,3,7,2,2,3.8
Cabramatta,1000000,2,9,9,6,2,3,9,6,8,9,6.3
Constitution Hill,1000000,7,9,7,9,2,9,9,8,4,4,6.8
Lakemba,1000000,8,6,4,6,6,4,4,5,5,6,5.4
Toongabbie,1000000,6,7,7,7,6,7,8,7,8,8,7.1
Pendle Hill,980000,5,5,5,4,3,3,5,6,2,9,4.7
Wetherill Park,980000,2,8,7,5,8,6,9,6,7,4,6.2
Milperra,975000,4,3,7,7,6,7,5,8,8,7,6.2
Girraween,975000,3,8,5,2,5,3,9,5,8,8,5.6
Punchbowl,970000,7,8,6,7,8,7,7,7,7,8,7.2
Holsworthy,950000,6,6,7,7,6,7,3,8,8,9,6.7
Auburn,950000,6,7,8,2,8,6,8,8,8,3,6.4
Canley Vale,950000,8,5,6,4,5,4,6,4,8,6,5.6
Greystanes,950000,8,9,4,9,9,6,8,9,6,4,7.2
Regents Park,950000,4,7,7,6,8,7,6,8,6,7,6.6
Rosehill,950000,7,7,6,4,8,7,6,8,6,9,6.8
Yagoona,950000,6,7,8,7,6,7,6,8,7,8,7
Merrylands,930000,3,4,5,3,6,3,7,6,9,8,5.4
Sefton,930000,8,6,6,4,7,4,5,7,5,7,5.9
Wiley Park,930000,7,9,8,7,6,6,7,8,7,8,7.3
Wilberforce,920000,5,5,9,8,3,3,9,5,6,5,5.8
Prairiewood,910000,7,3,5,8,4,4,8,9,6,9,6.3
Quakers Hill,910000,7,8,5,5,7,8,5,8,5,8,6.6
St Johns Park,910000,4,5,5,4,6,6,4,5,6,6,5.1
Bass Hill,900000,9,2,2,3,4,4,6,2,6,3,4.1
Casula,900000,4,4,5,5,8,4,9,9,5,7,6
Chester Hill,900000,5,5,4,2,9,2,2,7,2,9,4.7
Edmondson Park,900000,9,4,6,2,4,8,4,9,8,7,6.1
Guildford,900000,6,7,5,9,2,9,2,2,6,5,5.3
Hammondville,900000,8,5,2,9,7,4,7,3,6,5,5.6
Marsden Park,900000,8,7,4,8,2,8,9,9,8,5,6.8
Schofields,900000,6,7,8,5,7,8,6,7,8,8,7
Seven Hills,900000,5,7,6,5,9,7,2,3,9,5,5.8
Middleton Grange,890000,8,4,8,4,4,7,8,3,4,3,5.3
Wattle Grove,890000,7,6,7,7,7,6,7,7,6,6,6.6
Llandilo,880000,2,5,5,2,2,5,3,9,6,2,4.1
Woodpark,880000,7,6,8,7,8,7,7,8,7,8,7.3
Fairfield,875000,6,3,9,2,9,4,4,7,3,9,5.6
Granville,875000,8,9,6,4,2,9,8,8,2,2,5.8
Kings Park,860000,3,9,2,3,3,6,5,5,7,7,5
Erskine Park,850000,3,3,4,6,6,8,2,3,3,7,4.5
Lansvale,850000,3,3,3,3,7,6,5,8,5,5,4.8
Leppington,850000,5,6,4,4,9,9,5,6,2,4,5.4
Prestons,850000,8,9,5,5,6,5,7,9,9,7,7
Prospect,850000,6,7,7,4,8,7,9,9,9,9,7.5
Wallacia,850000,7,4,6,7,8,6,5,8,7,8,6.6
Hinchinbrook,840000,8,9,3,3,7,6,5,2,8,3,5.4
Smithfield,840000,5,6,7,7,6,7,6,7,7,6,6.4
Wakeley,830000,7,6,8,7,6,7,6,8,7,8,7
Mount Annan,825000,8,3,3,4,4,3,4,9,6,9,5.3
Cobbitty,820000,9,3,7,8,7,5,2,6,7,8,6.2
Minchinbury,820000,2,2,7,8,2,3,6,7,9,9,5.5
Oran Park,820000,4,3,6,4,8,9,7,8,8,9,6.6
Emu Plains,810000,8,7,9,8,8,4,9,6,9,6,7.4
Liverpool,810000,6,8,5,8,8,4,5,6,6,7,6.3
Riverstone,810000,5,5,6,3,6,6,4,6,8,7,5.6
Warwick Farm,810000,7,8,8,7,8,7,8,8,8,8,7.7
Woodcroft,810000,7,6,8,7,8,7,7,8,7,8,7.3
Appin,800000,5,5,5,3,9,8,8,5,6,5,5.9
Blacktown,800000,9,2,4,5,3,5,5,6,2,3,4.4
Camden,800000,2,8,5,3,2,7,2,5,5,7,4.6
Glenfield,800000,2,8,7,9,7,7,2,5,3,8,5.8
Hoxton Park,800000,5,6,6,9,7,6,4,7,8,6,6.4
Lurnea,800000,6,5,3,4,4,5,6,7,9,6,5.5
Yennora,800000,6,8,7,7,5,7,6,7,6,7,6.6
Spring Farm,780000,8,8,7,7,7,4,6,7,8,8,7
Marayong,775000,2,9,7,6,6,4,4,5,6,2,5.1
Mount Druitt,775000,3,6,7,7,2,2,5,8,5,8,5.3
St Clair,775000,5,5,6,5,7,6,6,5,5,7,5.7
Elderslie,770000,3,2,2,5,9,9,6,2,3,7,4.8
Villawood,765000,5,4,6,5,3,6,4,5,4,5,4.7
Jamisontown,760000,8,4,3,3,4,9,7,7,8,3,5.6
Lalor Park,760000,3,4,7,3,4,4,9,8,4,9,5.5
Cranebrook,750000,6,9,8,9,6,7,3,7,6,9,7
Eastern Creek,750000,7,9,3,8,9,7,2,5,8,6,6.4
Ingleburn,750000,2,4,2,3,4,8,6,6,7,5,4.7
Mount Pritchard,750000,8,5,6,7,9,5,7,8,7,2,6.4
Oxley Park,750000,3,6,4,3,6,8,2,4,5,7,4.8
Penrith,750000,3,4,9,6,6,2,7,9,6,3,5.5
Richmond,750000,8,6,7,7,8,8,6,8,7,7,7.2
Rooty Hill,750000,8,7,6,5,5,5,6,6,5,7,6
Ropes Crossing,750000,7,8,6,6,5,4,9,8,5,7,6.5
Oakhurst,745000,5,5,5,5,3,2,8,5,6,6,5
Kearns,740000,4,8,3,3,9,6,9,6,5,2,5.5
Kingswood,740000,5,3,2,8,7,7,8,9,2,8,5.9
Narellan,740000,4,4,4,8,3,9,2,9,6,6,5.5
Windsor,740000,6,5,7,8,8,7,6,8,8,8,7.1
Doonside,730000,8,2,2,2,3,6,6,4,9,5,4.7
Plumpton,730000,9,6,3,9,9,2,6,6,4,8,6.2
Werrington,725000,7,2,9,6,6,8,7,5,2,8,6
Minto,720000,4,5,8,9,6,2,2,8,8,8,6
St Marys,720000,3,4,3,3,3,4,5,4,7,4,4
St Andrews,710000,5,3,5,6,7,5,6,7,8,8,6
Ashcroft,700000,7,7,8,9,2,2,7,4,4,6,5.6
Busby,700000,9,4,9,8,2,6,4,6,8,9,6.5
Macquarie Fields,700000,8,3,3,3,7,7,9,9,2,6,5.7
Raby,700000,4,6,6,5,9,9,6,9,8,9,7.1
Ruse,700000,9,8,7,7,6,6,8,6,4,8,6.9
Woodbine,700000,7,7,7,7,7,6,6,7,7,7,6.8
Miller,690000,5,4,2,4,7,7,8,3,3,8,5.1
Rosemeadow,690000,8,9,7,5,4,4,7,8,6,8,6.6
Sadleir,690000,8,8,6,4,8,5,7,8,8,8,7
Leumeah,680000,8,6,4,5,9,4,2,8,9,2,5.7
Ambarvale,650000,4,7,6,8,4,8,9,7,9,6,6.8
Bradbury,650000,9,9,2,7,7,4,4,8,7,9,6.6
Campbelltown,650000,3,9,3,9,3,7,4,4,3,6,5.1
Dharruk,650000,3,2,6,7,8,7,3,5,6,2,4.9
St Helens Park,650000,6,6,7,7,6,5,5,4,6,5,5.7
Hebersham,640000,3,9,4,6,5,8,3,2,9,5,5.4
Whalan,590000,6,9,9,2,8,5,7,8,8,9,7.1
Lethbridge Park,580000,2,4,4,8,7,6,6,3,9,2,5.1
Shalvey,580000,8,8,7,6,7,5,7,8,5,7,6.8
Bidwill,575000,6,7,9,8,8,2,3,7,9,4,6.3
Tregear,570000,4,5,6,5,5,6,4,5,5,6,5.1
Emerton,560000,6,3,6,4,3,9,6,7,4,2,5
Airds,550000,5,6,8,3,6,5,2,9,7,2,5.3
Blackett,550000,8,4,8,6,4,6,8,9,5,8,6.6
Willmot,550000,5,4,6,5,7,8,3,7,8,6,5.9
Wolli Creek,,5,8,5,5,5,4,3,7,7,7,5.6
McMahons Point,,4,9,4,2,6,5,5,5,6,7,5.3
Macquarie Park,,3,7,6,6,7,3,6,4,4,8,5.4
