suburb,nearest_suburbs
Bexley,"'Harrington Park', 'Leichhardt', 'Bass Hill', 'Middleton Grange', 'Wheeler Heights'"
Blakehurst,"'Toongabbie', 'Whalan', 'Breakfast Point', 'Kings Park', 'Jannali'"
Canterbury,"'Newtown', 'Lansvale', 'Mascot', 'Oatlands', 'Brighton-le-Sands'"
Castle Hill,"'Wallacia', 'McMahons Point', 'Wentworth Point', 'Horsley Park', 'Woolloomooloo'"
Kensington,"'Londonderry', 'Botany', 'Meadowbank', 'Annandale', 'Dharruk'"
Mortdale,"'Ingleburn', 'Rosehill', 'St Ives', 'Sadleir', 'Abbotsbury'"
Revesby,"'Chatswood', 'Como', 'Lethbridge Park', 'Shalvey', 'Busby'"
Ryde,"'Bass Hill', 'Pendle Hill', 'Seven Hills', 'Enmore', 'Lindfield'"
Sutherland,"'Padstow', 'Waterloo', 'Plumpton', 'Casula', 'Avalon Beach'"
Hurstville,"'Darling Point', 'Denistone', 'Allambie Heights', 'Hornsby', 'Emerton'"
Riverwood,"'Padstow', 'Darlington', 'Ashbury', 'Ruse', 'Shalvey'"
Rushcutters Bay,"'Daceyville', 'Shalvey', 'Como', 'Dundas', 'Rosehill'"
Allawah,"'Werrington', 'Monterey', 'Birchgrove', 'Parramatta', 'Northwood'"
Edgecliff,"'Homebush', 'Carlton', 'Banksia', 'Ruse', 'Mount Annan'"
Five Dock,"'Kirrawee', 'Darlington', 'Punchbowl', 'Pymble', 'Bellevue Hill'"
Leichhardt,"'Canterbury', 'Auburn', 'Pendle Hill', 'Waverton', 'Ashbury'"
Lewisham,"'Gladesville', 'Mortlake', 'Mosman', 'Hurstville', 'Shalvey'"
Meadowbank,"'Beecroft', 'St Ives', 'Westleigh', 'Hillsdale', 'Stanhope Gardens'"
Erskineville,"'Randwick', 'Lidcombe', 'Pennant Hills', 'Putney', 'Lansvale'"
Homebush,"'Kurrajong', 'Merrylands', 'Berala', 'Hinchinbrook', 'Chiswick'"
Marrickville,"'Beecroft', 'Arncliffe', 'Potts Point', 'Oatley', 'Moorebank'"
Neutral Bay,"'Oxley Park', 'Daceyville', 'Wolli Creek', 'Dulwich Hill', 'Miller'"
Rosebery,"'Pagewood', 'Yowie Bay', 'Bardwell Park', 'Sadleir', 'Middle Cove'"
Wentworthville,"'Roseville', 'Kingsford', 'Palm Beach', 'Wakeley', 'Barden Ridge'"
Earlwood,"'Kensington', 'Kurnell', 'Lalor Park', 'Clovelly', 'Smithfield'"
Peakhurst,"'Lansvale', 'Rockdale', 'Mona Vale', 'Asquith', 'Rushcutters Bay'"
Surry Hills,"'Lalor Park', 'Milperra', 'Mulgoa', 'Rodd Point', 'Surry Hills'"
Wolli Creek,"'Waterloo', 'Lilli Pilli', 'Cromer', 'Five Dock', 'Kyeemagh'"
North Sydney,"'Blacktown', 'Killara', 'Allambie Heights', 'Engadine', 'Maroubra'"
Paddington,"'Manly', 'Kurnell', 'Ashcroft', 'Bradbury', 'Seven Hills'"
Pyrmont,"'Dural', 'Mount Druitt', 'Wollstonecraft', 'Bankstown', 'Prestons'"
Rockdale,"'Greenwich', 'Darling Point', 'Panania', 'Bass Hill', 'Telopea'"
Chatswood,"'Northbridge', 'Harrington Park', 'St Leonards', 'Lindfield', 'Bardwell Valley'"
Crows Nest,"'Chippendale', 'Kurnell', 'Miranda', 'Narwee', 'Freshwater'"
Macquarie Park,"'Little Bay', 'Westleigh', 'Constitution Hill', 'Colyton', 'Wentworth Point'"
Petersham,"'Banksia', 'Greenwich', 'Manly Vale', 'St Marys', 'Marrickville'"
Rhodes,"'Horsley Park', 'Clovelly', 'Kurrajong', 'Ashbury', 'Breakfast Point'"
Ashfield,"'Bidwill', 'Berala', 'Girraween', 'Bradbury', 'Abbotsbury'"
McMahons Point,"'Newtown', 'Waverton', 'Turrella', 'Blakehurst', 'Bondi'"
Mosman,"'Ermington', 'Willoughby', 'Yennora', 'Glenwood', 'Claymore'"
Newtown,"'Kurrajong', 'Seven Hills', 'Regents Park', 'Brookvale', 'Lugarno'"
Strathfield,"'Five Dock', 'Wentworthville', 'Summer Hill', 'St Ives', 'Burwood'"
Camperdown,"'Crows Nest', 'Sans Souci', 'Richmond', 'Como', 'East Hills'"
Campsie,"'Bardwell Park', 'Neutral Bay', 'Forest Lodge', 'Rooty Hill', 'Meadowbank'"
Chippendale,"'Richmond', 'Homebush', 'Londonderry', 'Westleigh', 'Berowra'"
Kingsford,"'Freshwater', 'Birchgrove', 'Richmond', 'Ryde', 'Maroubra'"
St Peters,"'Toongabbie', 'Pennant Hills', 'Glenfield', 'Prestons', 'Loftus'"
Stanmore,"'Oxley Park', 'Maraylya', 'Manly', 'Ryde', 'Moorebank'"
Burwood,"'Glenhaven', 'Gymea', 'Potts Point', 'Miranda', 'Forestville'"
Roselands,"'Ruse', 'Ponds, The', 'Ramsgate', 'Smithfield', 'Woodpark'"
Glebe,"'Hebersham', 'Orchard Hills', 'Wentworthville', 'Meadowbank', 'Abbotsford'"
Redfern,"'Clovelly', 'Croydon', 'Toongabbie', 'Bradbury', 'Wattle Grove'"
St Leonards,"'Frenchs Forest', 'Oyster Bay', 'Camperdown', 'Carlingford', 'Mount Annan'"
Zetland,"'Port Hacking', 'St Andrews', 'Vaucluse', 'Kings Park', 'Wakeley'"
Darlinghurst,"'Bondi', 'Collaroy', 'Mount Druitt', 'Freshwater', 'Chester Hill'"
Mascot,"'Whalan', 'Middle Cove', 'Northbridge', 'Lilli Pilli', 'Edmondson Park'"
Bankstown,"'Clontarf', 'Parklea', 'Hinchinbrook', 'Blacktown', 'Appin'"
Ultimo,"'Lane Cove', 'Bangor', 'West Ryde', 'Padstow', 'Eastlakes'"
Waterloo,"'Emerton', 'Earlwood', 'Dulwich Hill', 'Girraween', 'Thornleigh'"
Alexandria,"'Willoughby', 'Beverly Hills', 'Kingsgrove', 'Wentworthville', 'Colebee'"
Arncliffe,"'Sydenham', 'Caringbah', 'Neutral Bay', 'Turramurra', 'Alexandria'"
Blacktown,"'Birchgrove', 'Londonderry', 'Summer Hill', 'Erskine Park', 'Castle Cove'"
Auburn,"'Westleigh', 'Dundas', 'Kellyville', 'Pymble', 'Greenacre'"
Baulkham Hills,"'Kirribilli', 'Strathfield', 'Darlinghurst', 'Northbridge', 'Londonderry'"
Maroubra,"'Erskineville', 'Mascot', 'Alexandria', 'Greystanes', 'Ermington'"
Merrylands,"'Marrickville', 'Arncliffe', 'Turramurra', 'Beverly Hills', 'Middleton Grange'"
Kellyville,"'Coogee', 'Clontarf', 'Earlwood', 'Gladesville', 'Macquarie Park'"
Liverpool,"'Lakemba', 'Waverton', 'Greenwich', 'East Hills', 'Cherrybrook'"
Quakers Hill,"'Cabramatta', 'Botany', 'Riverview', 'Abbotsbury', 'Redfern'"
Parramatta,"'Wakeley', 'Canley Vale', 'Campbelltown', 'Woolooware', 'Castlereagh'"
Greenacre,"'Caringbah', 'Paddington', 'Edgecliff', 'Glebe', 'Punchbowl'"
Greystanes,"'Prestons', 'Ashbury', 'Forestville', 'Willoughby', 'Condell Park'"
Guildford,"'Ingleburn', 'Rossmore', 'Glenfield', 'Oatlands', 'Fairfield'"
Bondi,"'Prospect', 'Ingleburn', 'Waverley', 'Forestville', 'Gladesville'"
Cabramatta,"'Colebee', 'Leumeah', 'Clemton Park', 'Lilli Pilli', 'Como'"
Dee Why,"'Regents Park', 'Ingleburn', 'Five Dock', 'Coogee', 'Mascot'"
Punchbowl,"'Marayong', 'Edgecliff', 'Emerton', 'Chiswick', 'Llandilo'"
St Clair,"'Kurnell', 'Lavender Bay', 'Cremorne', 'Yennora', 'Liverpool'"
Seven Hills,"'Waterloo', 'Sylvania', 'Heathcote', 'Queenscliff', 'Oakhurst'"
Cherrybrook,"'Marsfield', 'Doonside', 'Chiswick', 'Cobbitty', 'Schofields'"
Fairfield,"'Cremorne', 'Rushcutters Bay', 'Penshurst', 'Kensington', 'Eastwood'"
Yagoona,"'Chiswick', 'Sans Souci', 'Loftus', 'Warwick Farm', 'Rushcutters Bay'"
St Ives,"'Bondi', 'Bardwell Valley', 'Rouse Hill', 'Horsley Park', 'Cheltenham'"
Lakemba,"'Wollstonecraft', 'Constitution Hill', 'Oakhurst', 'Dulwich Hill', 'Marayong'"
Mount Druitt,"'Birrong', 'Werrington', 'Sadleir', 'Petersham', 'Malabar'"
Westmead,"'Revesby', 'Waverton', 'Riverwood', 'Sutherland', 'Marsden Park'"
Glenwood,"'Dharruk', 'Haberfield', 'Hunters Hill', 'Neutral Bay', 'Marsden Park'"
Cranebrook,"'Enfield', 'Warwick Farm', 'Villawood', 'Sans Souci', 'Harrington Park'"
Casula,"'Turramurra', 'Claymore', 'Burwood', 'Seaforth', 'Raby'"
Coogee,"'Stanhope Gardens', 'Asquith', 'Bidwill', 'Hammondville', 'Alexandria'"
Granville,"'Rose Bay', 'Marsden Park', 'Bass Hill', 'Cronulla', 'Enfield'"
Prestons,"'Zetland', 'Wattle Grove', 'Mosman', 'Camperdown', 'Schofields'"
Ingleburn,"'East Hills', 'Hebersham', 'Campsie', 'Mosman', 'Little Bay'"
Rooty Hill,"'Blacktown', 'Randwick', 'Thornleigh', 'Cabarita', 'Queenscliff'"
Toongabbie,"'Elizabeth Bay', 'Shalvey', 'Kyle Bay', 'West Ryde', 'Haymarket'"
Macquarie Fields,"'Greenwich', 'Orchard Hills', 'Bondi', 'Hinchinbrook', 'Bass Hill'"
Doonside,"'Bradbury', 'Rockdale', 'Leppington', 'Werrington', 'Waverley'"
Frenchs Forest,"'Gladesville', 'Illawong', 'Bankstown', 'Kareela', 'Killara'"
Marsfield,"'Balmain', 'Loftus', 'Bidwill', 'Eastern Creek', 'Normanhurst'"
Penrith,"'Rhodes', 'Turramurra', 'Normanhurst', 'Miller', 'Vaucluse'"
West Ryde,"'Lalor Park', 'Northwood', 'Doonside', 'Croydon', 'Dee Why'"
Belmore,"'Mona Vale', 'Matraville', 'Abbotsford', 'Lurnea', 'Menai'"
Campbelltown,"'Forestville', 'Llandilo', 'Abbotsbury', 'Woolloomooloo', 'Bass Hill'"
Chester Hill,"'Villawood', 'Breakfast Point', 'Tamarama', 'Claymore', 'Terrey Hills'"
Minto,"'Kearns', 'Liverpool', 'Ingleburn', 'Mosman', 'Stanmore'"
Smithfield,"'Rossmore', 'Strathfield', 'Castle Hill', 'Haymarket', 'Oran Park'"
St Marys,"'Elizabeth Bay', 'Wiley Park', 'Annandale', 'Leichhardt', 'Abbotsford'"
"Ponds, The","'Lavender Bay', 'Alexandria', 'Woollahra', 'Mount Colah', 'Yarrawarrah'"
Condell Park,"'Mona Vale', 'Parramatta', 'Petersham', 'Newtown', 'East Hills'"
Mount Annan,"'Woronora', 'Mortlake', 'Lindfield', 'Berala', 'Luddenham'"
Winston Hills,"'Manly Vale', 'Leumeah', 'Fairfield', 'Kingsford', 'St Andrews'"
Cremorne,"'Miller', 'Padstow', 'Guildford', 'West Ryde', 'Woronora'"
Hinchinbrook,"'Lugarno', 'Clemton Park', 'Kurrajong', 'Hunters Hill', 'Killara'"
Northmead,"'Lewisham', 'Schofields', 'Gladesville', 'Rockdale', 'Forestville'"
Pymble,"'Wilberforce', 'St Ives', 'Camden', 'North Sydney', 'Hurlstone Park'"
Bellevue Hill,"'Prairiewood', 'Pitt Town', 'Narraweena', 'Warriewood', 'Killara'"
Ermington,"'St Helens Park', 'Denistone', 'Rydalmere', 'North Rocks', 'Appin'"
Harrington Park,"'Woolloomooloo', 'Mona Vale', 'Wilberforce', 'Ponds, The', 'Rossmore'"
Mona Vale,"'Liverpool', 'Dulwich Hill', 'Bardwell Valley', 'Lindfield', 'Woollahra'"
Sylvania,"'St Andrews', 'Mount Lewis', 'Mount Druitt', 'Hinchinbrook', 'Chippendale'"
Canley Vale,"'Kirribilli', 'Glenhaven', 'Oatley', 'Westmead', 'Waverley'"
Rose Bay,"'Shalvey', 'Riverwood', 'Arncliffe', 'Croydon', 'Macquarie Fields'"
Beverly Hills,"'Orchard Hills', 'Dolls Point', 'Strathfield', 'Balmain', 'Bass Hill'"
Wiley Park,"'Ashbury', 'Clontarf', 'Millers Point', 'Horsley Park', 'Greenacre'"
Avalon Beach,"'Taren Point', 'Surry Hills', 'Yagoona', 'Summer Hill', 'Middleton Grange'"
Glenfield,"'Punchbowl', 'Raby', 'Quakers Hill', 'Waterloo', 'Bonnet Bay'"
Leumeah,"'Panania', 'Emu Plains', 'Bonnet Bay', 'Burwood', 'Liverpool'"
Matraville,"'Kurrajong', 'Rooty Hill', 'Enmore', 'Clontarf', 'Baulkham Hills'"
Moorebank,"'Belrose', 'Breakfast Point', 'Pemulwuy', 'Hebersham', 'Londonderry'"
Mount Pritchard,"'Wallacia', 'Mosman', 'Meadowbank', 'Frenchs Forest', 'Hoxton Park'"
Potts Point,"'North Rocks', 'Airds', 'Shalvey', 'Lilyfield', 'Prospect'"
Vaucluse,"'Prestons', 'Marsden Park', 'Dolls Point', 'Fairlight', 'Oran Park'"
Hunters Hill,"'Ambarvale', 'Ashcroft', 'Cremorne', 'Enmore', 'Engadine'"
Kings Langley,"'Blackett', 'Lugarno', 'Rodd Point', 'Oakville', 'Plumpton'"
Kingswood,"'Chester Hill', 'Millers Point', 'Marrickville', 'Lalor Park', 'Woolooware'"
Lurnea,"'Chifley', 'Lalor Park', 'Prestons', 'Ashcroft', 'Ropes Crossing'"
Newport,"'Five Dock', 'Newtown', 'Redfern', 'Bardwell Park', 'Sutherland'"
Bass Hill,"'Narellan', 'Granville', 'Manly Vale', 'Rozelle', 'Chiswick'"
Plumpton,"'Surry Hills', 'Homebush', 'East Hills', 'Mount Lewis', 'Penrith'"
Stanhope Gardens,"'Canterbury', 'Hunters Hill', 'Dolls Point', 'Jannali', 'Oakhurst'"
Belrose,"'Banksia', 'Hoxton Park', 'Westmead', 'Terrey Hills', 'Appin'"
Berala,"'Parklea', 'Haymarket', 'Yowie Bay', 'Wareemba', 'Glenwood'"
Eastlakes,"'Castlereagh', 'Oatley', 'Narellan', 'Ramsgate', 'Ashfield'"
Bradbury,"'Rooty Hill', 'Rushcutters Bay', 'Wahroonga', 'Dee Why', 'Colyton'"
Freshwater,"'Earlwood', 'Randwick', 'Merrylands', 'Asquith', 'Harris Park'"
Wattle Grove,"'Ashbury', 'Baulkham Hills', 'Oatlands', 'Airds', 'Bardwell Park'"
Brighton-le-Sands,"'Little Bay', 'Birchgrove', 'Seven Hills', 'Beverly Hills', 'Wheeler Heights'"
Colyton,"'Hornsby', 'Pagewood', 'Beverly Hills', 'Ramsgate', 'Chester Hill'"
Emu Plains,"'Balmain', 'Milperra', 'Peakhurst', 'Randwick', 'Curl Curl'"
Forestville,"'Bidwill', 'Hammondville', 'Hillsdale', 'Rose Bay', 'St Marys'"
Thornleigh,"'Alexandria', 'Moorebank', 'Lewisham', 'Mount Pritchard', 'Woolloomooloo'"
Narrabeen,"'Woronora', 'Emu Plains', 'St Marys', 'Pymble', 'Neutral Bay'"
Balgowlah,"'Kingsgrove', 'Hornsby', 'Kyeemagh', 'Marsden Park', 'Ashfield'"
Bella Vista,"'Monterey', 'Normanhurst', 'Luddenham', 'Coogee', 'Haberfield'"
Collaroy,"'Riverview', 'Clovelly', 'Banksia', 'Kings Langley', 'Willoughby'"
Gordon,"'Berala', 'Peakhurst', 'Picnic Point', 'Neutral Bay', 'Berowra'"
North Rocks,"'Lalor Park', 'Windsor', 'Erskineville', 'Bondi', 'Northbridge'"
Rosemeadow,"'Yennora', 'Bondi', 'Ropes Crossing', 'Willmot', 'Canterbury'"
Cromer,"'Oakhurst', 'Engadine', 'Manly', 'Kurnell', 'Prestons'"
Dural,"'Curl Curl', 'Whalan', 'Arncliffe', 'Russell Lea', 'Burwood'"
Lalor Park,"'Airds', 'Caringbah', 'Miller', 'Quakers Hill', 'Bonnet Bay'"
Marayong,"'Oyster Bay', 'Woodpark', 'Oran Park', 'Oatley', 'Schofields'"
Warriewood,"'Richmond', 'Birchgrove', 'Fairfield', 'Northbridge', 'Mona Vale'"
Ambarvale,"'Emu Plains', 'Clontarf', 'Penshurst', 'Elizabeth Bay', 'Belmore'"
Haymarket,"'St Leonards', 'Zetland', 'Lilyfield', 'Greenwich', 'Condell Park'"
Pendle Hill,"'Hurstville', 'Gladesville', 'Shalvey', 'Forestville', 'Kings Park'"
Pennant Hills,"'Woodcroft', 'Vaucluse', 'Bardwell Park', 'Sylvania', 'Emu Plains'"
Woollahra,"'Toongabbie', 'Chiswick', 'Banksia', 'Melrose Park', 'Mosman'"
Illawong,"'Gymea', 'Waitara', 'Annangrove', 'Woodpark', 'Darling Point'"
Mount Colah,"'Ryde', 'Epping', 'Campsie', 'Vaucluse', 'Lalor Park'"
Riverstone,"'Newtown', 'Milsons Point', 'Marsden Park', 'Balmain', 'Hebersham'"
Seaforth,"'Willoughby', 'Northmead', 'Seaforth', 'Castle Hill', 'Seven Hills'"
Allambie Heights,"'Coogee', 'North Rocks', 'Mortdale', 'Bexley North', 'Wakeley'"
Bronte,"'Thornleigh', 'Fairlight', 'Glebe', 'East Hills', 'St Marys'"
Cammeray,"'Birrong', 'Schofields', 'Kyle Bay', 'Surry Hills', 'Leichhardt'"
Oakhurst,"'Hoxton Park', 'Whalan', 'Randwick', 'Summer Hill', 'Bangor'"
Wentworth Point,"'Hillsdale', 'Harris Park', 'Earlwood', 'Woolooware', 'Little Bay'"
Narraweena,"'Villawood', 'Prospect', 'Whalan', 'Greenacre', 'Concord'"
Rydalmere,"'Picnic Point', 'Lidcombe', 'Annangrove', 'Petersham', 'Maraylya'"
St Helens Park,"'Jamisontown', 'Elderslie', 'Dural', 'Alexandria', 'Petersham'"
Willoughby,"'Tregear', 'Ermington', 'Greenwich', 'Clovelly', 'North Sydney'"
Erskine Park,"'Five Dock', 'Banksia', 'Kurnell', 'Yarrawarrah', 'Heathcote'"
Glenhaven,"'Lalor Park', 'Hurlstone Park', 'Chester Hill', 'Lane Cove', 'Berala'"
Northbridge,"'Schofields', 'Annandale', 'Bellevue Hill', 'Newtown', 'Castlereagh'"
Woodcroft,"'Girraween', 'St Ives', 'Engadine', 'Carlingford', 'Mount Colah'"
Manly Vale,"'Woolooware', 'Earlwood', 'Haymarket', 'Potts Point', 'Hurlstone Park'"
Picnic Point,"'Kareela', 'Millers Point', 'Narellan', 'Balgowlah', 'Berala'"
Ropes Crossing,"'Willmot', 'Allambie Heights', 'Waitara', 'Riverwood', 'Girraween'"
St Johns Park,"'Balmain', 'Leppington', 'Bass Hill', 'Killarney Heights', 'Eastlakes'"
Wetherill Park,"'Belmore', 'Woolloomooloo', 'Wolli Creek', 'Cheltenham', 'Mortlake'"
Villawood,"'Revesby', 'Condell Park', 'Tamarama', 'Roselands', 'Plumpton'"
Elderslie,"'Summer Hill', 'Manly', 'Milsons Point', 'Riverwood', 'Rossmore'"
Fairlight,"'Smithfield', 'Milsons Point', 'Five Dock', 'Bass Hill', 'Ambarvale'"
Harris Park,"'Hunters Hill', 'Beverly Hills', 'Darlinghurst', 'Marayong', 'Malabar'"
Heathcote,"'Luddenham', 'Kings Langley', 'Shalvey', 'Gladesville', 'Bella Vista'"
Naremburn,"'Arncliffe', 'Erskine Park', 'Queenscliff', 'Davidson', 'Mount Colah'"
Newington,"'Claymore', 'Tamarama', 'Villawood', 'Melrose Park', 'Wollstonecraft'"
Raby,"'Woodpark', 'Davidson', 'Gymea', 'Carlingford', 'Mosman'"
Sefton,"'Edgecliff', 'Minto', 'Whalan', 'Taren Point', 'Mascot'"
Warwick Farm,"'Kyle Bay', 'Mona Vale', 'Bronte', 'Vaucluse', 'Engadine'"
Whalan,"'Woodbine', 'Chester Hill', 'Newington', 'Colyton', 'Marrickville'"
Girraween,"'Canley Vale', 'Roseville', 'St Peters', 'Haymarket', 'Darlinghurst'"
Greenwich,"'Shalvey', 'Maroubra', 'Gordon', 'Kareela', 'Five Dock'"
Hebersham,"'Middleton Grange', 'Prospect', 'Wilberforce', 'Ramsgate', 'Harrington Park'"
Minchinbury,"'Kings Park', 'Daceyville', 'Brookvale', 'Leumeah', 'Sadleir'"
Narwee,"'North Sydney', 'Queens Park', 'Edgecliff', 'Matraville', 'Mona Vale'"
Oatlands,"'Sans Souci', 'Wakeley', 'Penshurst', 'Queens Park', 'Narwee'"
Ruse,"'Clontarf', 'Toongabbie', 'Bardwell Park', 'Pemulwuy', 'Mona Vale'"
St Andrews,"'Sans Souci', 'Kingsgrove', 'Woodpark', 'Randwick', 'Lurnea'"
Telopea,"'Queens Park', 'Castle Cove', 'Kingswood', 'Dee Why', 'Glenfield'"
Oyster Bay,"'Beaconsfield', 'Sylvania', 'Melrose Park', 'Cremorne', 'Tregear'"
Abbotsford,"'Kyeemagh', 'Hoxton Park', 'Surry Hills', 'Artarmon', 'Westleigh'"
Berowra,"'Oatley', 'Miranda', 'Ryde', 'Lewisham', 'Freshwater'"
Elizabeth Bay,"'Beverly Hills', 'Ingleburn', 'Newport', 'Guildford', 'Darling Point'"
Hillsdale,"'Paddington', 'Warriewood', 'Lalor Park', 'Jannali', 'Northbridge'"
Jamisontown,"'Sutherland', 'Avalon Beach', 'Pendle Hill', 'Parklea', 'Engadine'"
Malabar,"'Wareemba', 'Wallacia', 'Rozelle', 'St Peters', 'Roselands'"
Normanhurst,"'Pymble', 'Hillsdale', 'Londonderry', 'Millers Point', 'Dural'"
Richmond,"'Hillsdale', 'Belmore', 'Naremburn', 'Gladesville', 'Wentworthville'"
Middleton Grange,"'Oyster Bay', 'Cabramatta', 'Holsworthy', 'Westmead', 'Naremburn'"
Russell Lea,"'Werrington', 'Mosman', 'Dulwich Hill', 'Burwood', 'St Marys'"
Schofields,"'Loftus', 'Baulkham Hills', 'Eastlakes', 'Gladesville', 'Rooty Hill'"
Kenthurst,"'Dural', 'Mount Pritchard', 'Bardwell Valley', 'Killarney Heights', 'Blacktown'"
Pemulwuy,"'Padstow', 'Belrose', 'Marrickville', 'Pagewood', 'Lewisham'"
Marsden Park,"'Lavender Bay', 'Concord', 'Blacktown', 'Roselands', 'Waterloo'"
Oran Park,"'Mulgoa', 'Cherrybrook', 'Surry Hills', 'Woolooware', 'Claymore'"
